"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2401_C01_001E","Estimate!!Total!!Civilian employed population 16 years and over"
"S2401_C01_001M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S2401_C01_001MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over"
"S2401_C01_001EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over"
"S2401_C01_002E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C01_002M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C01_002MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C01_002EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:"
"S2401_C01_003E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C01_003EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C01_003M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C01_003MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:"
"S2401_C01_004E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C01_004M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C01_004MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C01_004EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Management occupations"
"S2401_C01_005E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C01_005EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C01_005M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C01_005MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Management, business, and financial occupations:!!Business and financial operations occupations"
"S2401_C01_006E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C01_006EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C01_006M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C01_006MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:"
"S2401_C01_007E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C01_007M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C01_007MA","Annotation of Margin of Error!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C01_007EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Computer and mathematical occupations"
"S2401_C01_008E","Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
"S2401_C01_008EA","Annotation of Estimate!!Total!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations:!!Computer, engineering, and science occupations:!!Architecture and engineering occupations"
