GEO_ID,NAME,S2301_C04_001E
45001,"Abbeville County, South Carolina",4.1
45003,"Aiken County, South Carolina",6.7
45005,"Allendale County, South Carolina",16.4
45007,"Anderson County, South Carolina",5.4
45009,"Bamberg County, South Carolina",9.3
45011,"Barnwell County, South Carolina",7.9
45013,"Beaufort County, South Carolina",3.9
45015,"Berkeley County, South Carolina",4.2
45017,"Calhoun County, South Carolina",4.8
45019,"Charleston County, South Carolina",3.8
45021,"Cherokee County, South Carolina",7
45023,"Chester County, South Carolina",5.9
45025,"Chesterfield County, South Carolina",8.2
45027,"Clarendon County, South Carolina",10.8
45029,"Colleton County, South Carolina",6.3
45031,"Darlington County, South Carolina",6.3
45033,"Dillon County, South Carolina",6.5
45035,"Dorchester County, South Carolina",5.5
45037,"Edgefield County, South Carolina",6.8
45039,"Fairfield County, South Carolina",6
45041,"Florence County, South Carolina",4.6
45043,"Georgetown County, South Carolina",6.8
45045,"Greenville County, South Carolina",3.9
45047,"Greenwood County, South Carolina",5.7
45049,"Hampton County, South Carolina",10.8
45051,"Horry County, South Carolina",6.1
45053,"Jasper County, South Carolina",7.5
45055,"Kershaw County, South Carolina",5.6
45057,"Lancaster County, South Carolina",4.9
45059,"Laurens County, South Carolina",6.4
45061,"Lee County, South Carolina",7.8
45063,"Lexington County, South Carolina",4.7
45065,"McCormick County, South Carolina",6.6
45067,"Marion County, South Carolina",7.2
45069,"Marlboro County, South Carolina",9
45071,"Newberry County, South Carolina",4.6
45073,"Oconee County, South Carolina",6.1
45075,"Orangeburg County, South Carolina",9.5
45077,"Pickens County, South Carolina",4.4
45079,"Richland County, South Carolina",6.3
45081,"Saluda County, South Carolina",4.1
45083,"Spartanburg County, South Carolina",5
45085,"Sumter County, South Carolina",8.3
45087,"Union County, South Carolina",8.9
45089,"Williamsburg County, South Carolina",4.6
45091,"York County, South Carolina",4.9
