Regulated Operation,Number Of Lagoons,County Name,Location Lat Num,Location Long Num
Swine,7,Duplin,34.8875,-78.1314
Swine,7,Duplin,34.8875,-78.1314
Swine,7,Duplin,34.8875,-78.1314
Swine,4,Duplin,34.8672,-78.1514
Swine,2,Duplin,34.881703,-78.151154
Swine,8,Northampton,36.53905,-77.617575
Swine,3,Sampson,34.883219,-78.163722
Swine,3,Sampson,35.000136,-78.222075
Cattle,0,Alamance,36.1742,-79.4994
Swine,0,Alamance,36.1742,-79.4994
Cattle,1,Alamance,36.0442,-79.3261
Cattle,1,Alamance,35.9042,-79.3
Cattle,1,Alamance,35.9042,-79.3
Cattle,,Alamance,35.8483,-79.4597
Cattle,1,Alexander,35.933134,-81.209042
Cattle,2,Alexander,35.873786,-81.141283
Cattle,1,Alexander,35.847885,-81.054686
Cattle,1,Alexander,35.885466,-81.035494
Cattle,1,Alexander,35.89547,-81.231917
Cattle,1,Alexander,35.944308,-81.211292
Cattle,1,Alleghany,36.5556,-81.1761
Cattle,2,Alleghany,36.5036,-80.9711
Cattle,1,Alleghany,36.525,-81.175
Cattle,1,Alleghany,36.5475,-81.0067
Cattle,1,Alleghany,36.5086,-81.2258
Cattle,1,Alleghany,36.5628,-81.0481
Cattle,1,Alleghany,36.5017,-81.1756
Cattle,2,Alleghany,36.5383,-81.1883
Cattle,2,Alleghany,36.5319,-81.1669
Cattle,1,Anson,35.021592,-80.29248
Cattle,,Anson,34.8156,-80.2464
Cattle,,Anson,34.8156,-80.2464
Cattle,,Anson,34.8156,-80.2464
Cattle,1,Buncombe,35.4764,-82.4347
Cattle,1,Buncombe,35.4558,-82.5947
Cattle,,Buncombe,35.5119,-82.3781
Cattle,1,Cabarrus,35.5047,-80.4986
Cattle,1,Catawba,35.5833,-81.4733
Cattle,1,Catawba,35.5833,-81.4733
Cattle,1,Catawba,35.5833,-81.4733
Cattle,1,Catawba,35.5833,-81.4733
Cattle,0,Chatham,35.6786,-79.4847
Cattle,1,Chatham,35.8719,-79.2378
Cattle,2,Chatham,35.7444,-79.245
Cattle,1,Chatham,35.5267,-79.4733
Cattle,1,Chatham,35.8378,-79.3589
Cattle,2,Cleveland,35.2925,-81.3997
Cattle,2,Cleveland,35.2925,-81.3997
Cattle,2,Cleveland,35.2925,-81.3997
Cattle,2,Cleveland,35.4767,-81.6014
Cattle,1,Davidson,35.7325,-80.3133
Cattle,1,Davidson,35.7325,-80.3133
Cattle,1,Davidson,35.7325,-80.3133
Cattle,1,Davidson,35.7353,-80.1339
Cattle,1,Davidson,35.7353,-80.1339
Cattle,1,Davidson,35.7583,-80.2892
Cattle,1,Davidson,35.7583,-80.2892
Cattle,1,Davidson,35.7583,-80.2892
Cattle,1,Davie,35.895,-80.6653
Cattle,1,Davie,35.9458,-80.6314
Cattle,2,Durham,36.1781,-78.8061
Cattle,,Franklin,36.079148,-78.162776
Cattle,2,Gaston,35.4042,-81.3542
Cattle,2,Gaston,35.4042,-81.3542
Cattle,2,Gaston,35.4042,-81.3542
Cattle,2,Gaston,35.3333,-81.2417
Cattle,2,Gaston,35.3333,-81.2417
Cattle,2,Gaston,35.3333,-81.2417
Cattle,2,Gaston,35.3333,-81.2417
Cattle,1,Granville,36.3158,-78.6472
Cattle,,Greene,35.4564,-77.5213
Cattle,,Greene,35.564439,-77.725403
Cattle,2,Guilford,36.239771,-79.753067
Cattle,2,Guilford,36.240822,-79.658204
Cattle,2,Guilford,36.240822,-79.658204
Cattle,2,Guilford,36.1731,-79.5578
Cattle,2,Guilford,36.1708,-79.5736
Cattle,2,Guilford,36.1708,-79.5736
Cattle,2,Guilford,36.137274,-79.611771
Cattle,1,Haywood,35.5847,-83.0217
Cattle,1,Haywood,35.595505,-83.019652
Cattle,1,Haywood,35.5981,-82.8347
Cattle,1,Haywood,35.6694,-82.975
Cattle,1,Haywood,35.6047,-82.9417
Cattle,1,Haywood,35.595,-82.975
Cattle,,Haywood,35.5528,-82.8333
Cattle,2,Iredell,36.0328,-80.925
Cattle,2,Iredell,36.0328,-80.925
Cattle,2,Iredell,36.0328,-80.925
Cattle,2,Iredell,35.9192,-80.8136
Cattle,2,Iredell,35.9192,-80.8136
Cattle,2,Iredell,35.9192,-80.8136
Cattle,1,Iredell,35.8389,-80.8292
Cattle,3,Iredell,36.0542,-80.8375
Cattle,3,Iredell,36.0542,-80.8375
Cattle,3,Iredell,36.0542,-80.8375
Cattle,3,Iredell,36.0542,-80.8375
Cattle,1,Iredell,36.0244,-81.
Cattle,1,Iredell,36.0244,-81.
Cattle,1,Iredell,36.0244,-81.
Cattle,1,Iredell,36.0244,-81.
Cattle,1,Iredell,35.9486,-80.8833
Cattle,1,Iredell,35.9097,-80.7125
Cattle,1,Iredell,35.9097,-80.7125
Cattle,1,Iredell,35.9097,-80.7125
Cattle,3,Iredell,35.8917,-80.7667
Cattle,3,Iredell,35.8917,-80.7667
Cattle,3,Iredell,35.8917,-80.7667
Cattle,3,Iredell,35.8917,-80.7667
Cattle,2,Iredell,35.787689,-81.06013
Cattle,2,Iredell,35.787689,-81.06013
Cattle,2,Iredell,35.787689,-81.06013
Cattle,2,Iredell,35.787689,-81.06013
Cattle,1,Iredell,36.0194,-80.9328
Cattle,1,Iredell,36.0194,-80.9328
Cattle,1,Iredell,36.0194,-80.9328
Cattle,1,Iredell,36.0194,-80.9328
Cattle,1,Iredell,35.955,-80.9083
Cattle,1,Iredell,35.955,-80.9083
Cattle,1,Iredell,35.8664,-80.7333
Cattle,1,Iredell,35.8664,-80.7333
Cattle,1,Iredell,35.8664,-80.7333
Cattle,1,Iredell,35.9106,-80.8722
Cattle,1,Iredell,35.9106,-80.8722
Cattle,1,Iredell,35.9106,-80.8722
Cattle,1,Iredell,35.9106,-80.8722
Cattle,1,Iredell,35.9267,-80.7233
Cattle,1,Iredell,35.9272,-80.9078
Cattle,1,Iredell,35.9272,-80.9078
Cattle,1,Iredell,35.9272,-80.9078
Cattle,1,Iredell,35.9272,-80.9078
Cattle,1,Iredell,35.9139,-80.9475
Cattle,1,Iredell,35.8944,-80.9417
Cattle,2,Iredell,35.9514,-80.8417
Cattle,2,Iredell,35.9514,-80.8417
Cattle,2,Iredell,35.9514,-80.8417
Cattle,2,Iredell,35.9514,-80.8417
Cattle,,Iredell,36.0286,-80.7183
Cattle,,Iredell,36.0286,-80.7183
Cattle,1,Lincoln,35.4833,-81.15
Cattle,5,Lincoln,35.4167,-81.32
Cattle,5,Lincoln,35.4167,-81.32
Cattle,5,Lincoln,35.4167,-81.32
Cattle,5,Lincoln,35.4167,-81.32
Cattle,2,Lincoln,35.4258,-81.3817
Cattle,2,Lincoln,35.4258,-81.3817
Cattle,2,Lincoln,35.4258,-81.3817
Cattle,2,Lincoln,35.4258,-81.3817
Cattle,1,Lincoln,35.4556,-81.3511
Cattle,1,Lincoln,35.4556,-81.3511
Cattle,1,Lincoln,35.4556,-81.3511
Cattle,1,Lincoln,35.5458,-81.2839
Cattle,1,Lincoln,35.5458,-81.2839
Cattle,1,Lincoln,35.5458,-81.2839
Cattle,1,Lincoln,35.5458,-81.2839
Cattle,1,Person,36.2639,-79.1256
Cattle,3,Randolph,35.8433,-79.8433
Cattle,0,Randolph,35.5128,-79.745
Swine,0,Randolph,35.5128,-79.745
Cattle,2,Randolph,35.9,-79.8361
Cattle,2,Randolph,35.9,-79.8361
Cattle,1,Randolph,35.8619,-79.8386
Cattle,1,Randolph,35.7456,-79.8617
Cattle,1,Randolph,35.7456,-79.8617
Cattle,1,Randolph,35.7456,-79.8617
